,genre_id,name,ruby,list_url
0,6179,4時間以上作品,4じかんいじょうさくひん,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D6179%2F&af_id=souhub-990&ch=api
1,4118,アイドル・芸能人,あいどるげいのうじん,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D4118%2F&af_id=souhub-990&ch=api
2,514,アクション・格闘,あくしょんかくとう,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D514%2F&af_id=souhub-990&ch=api
3,6968,アクメ・オーガズム,あくめおーがずむ,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D6968%2F&af_id=souhub-990&ch=api
4,5048,足コキ,あしこき,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D5048%2F&af_id=souhub-990&ch=api
5,4008,脚フェチ,あしふぇち,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D4008%2F&af_id=souhub-990&ch=api
6,2011,アジア女優,あじあじょゆう,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D2011%2F&af_id=souhub-990&ch=api
7,6965,アスリート,あすりーと,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D6965%2F&af_id=souhub-990&ch=api
8,5075,汗だく,あせだく,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D5075%2F&af_id=souhub-990&ch=api
9,5005,アナル,あなる,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dkeyword%2Fid%3D5005%2F&af_id=souhub-990&ch=api
